barcode,name,description,quantity,min_quantity,price
7501234567890,Coca Cola 2L,Refresco de cola,50,10,25.50
7501234567891,Pepsi 2L,Refresco de cola,45,10,24.00
7501234567892,Sabritas Original,Papas fritas 45g,100,20,15.00
7501234567893,Galletas Oreo,Galletas de chocolate,80,15,32.50
7501234567894,Agua Ciel 1L,Agua purificada,200,50,12.00
7501234567895,Jumex Mango,Néctar de mango 1L,60,15,18.00
7501234567896,Pan Bimbo,Pan de caja blanco,30,10,38.00
7501234567897,Leche Lala,Leche entera 1L,75,20,22.50
7501234567898,Huevos San Juan,Huevos blancos 12pz,40,15,55.00
7501234567899,Arroz Verde Valle,Arroz blanco 1kg,90,25,28.00
